analysis,model,n,k_parameters,logLik_full,logLik_null,McFadden_R2,McFadden_adjusted_R2,Cox_Snell_R2,Nagelkerke_R2,Tjur_R2,Brier_score
A_heroin_lifetime_users,Model 4 - add treatment and booked,1152,15,-228.3685860266102,-255.59840804512783,0.10653361351808577,0.04784780199553662,0.04617398326407507,0.12884357377953845,0.051515260055810246,0.05211614843513669
B_heroin_or_cocaine_lifetime_users,Model 4 - add treatment and booked,6660,17,-1350.1861141349302,-1454.3478691172459,0.0716209355369285,0.059931847691447215,0.030795654350641022,0.08702747041824285,0.03569045615221967,0.05184794186590311
C_heroin_cocaine_meth_lifetime_users,Model 4 - add treatment and booked,7120,21,-1844.679416233418,-2107.920006774713,0.12488167942581196,0.11491925204123021,0.0712762861850127,0.15951101138601134,0.08928299632470735,0.07256254518068557
