analysis,model,term,odds_ratio,conf_low_or,conf_high_or,estimate_log_odds,std_error,z_value,p_value,odds_ratio_rounded,conf_low_or_rounded,conf_high_or_rounded,p_value_rounded,significant_0_05
A_heroin_lifetime_users,Model 0 - baseline,(Intercept),0.06175115209910956,0.04824952097742396,0.079030935609735245,-2.7846426461726406,0.12588329936109538,-22.12082667284492,1.9924390231400227e-108,0.062,0.048,0.079,0,TRUE
A_heroin_lifetime_users,Model 1 - add SES indexes,(Intercept),0.21041534998786687,0.09925221650435342,0.4460819220956594,-1.5586718445636603,0.38338417873495495,-4.065561207316323,4.7917016166171045e-5,0.21,0.099,0.446,0,TRUE
A_heroin_lifetime_users,Model 1 - add SES indexes,EDUHIGHCAT_f2,1.112935498740789,0.5814578753593819,2.1302066355053686,0.10700111800024376,0.33123969323468805,0.3230322940929424,0.7466707848978641,1.113,0.581,2.13,0.7467,FALSE
A_heroin_lifetime_users,Model 1 - add SES indexes,EDUHIGHCAT_f3,0.4290261495925985,0.19561718145873472,0.940936965054262,-0.8462374071504842,0.4007003621060623,-2.1118957884208043,0.03469538870961979,0.429,0.196,0.941,0.0347,TRUE
A_heroin_lifetime_users,Model 1 - add SES indexes,EDUHIGHCAT_f4,0.3656945707738072,0.0992308776650753,1.3476905801923262,-1.0059568000573038,0.6654965379828249,-1.5115883293795067,0.13063862247836264,0.366,0.099,1.348,0.1306,FALSE
A_heroin_lifetime_users,Model 1 - add SES indexes,ECONOMIC_STATUS_INDEX,0.3303116065707906,0.15005941252500105,0.7270837303671231,-1.1077188077211153,0.4025610563809816,-2.7516790066070778,0.00592906057013646,0.33,0.15,0.727,0.0059,TRUE
A_heroin_lifetime_users,Model 1 - add SES indexes,EMPLOYMENT_INDEX,0.3615068992500818,0.17099974099905932,0.7642540125609177,-1.0174741525029682,0.3819555310750871,-2.663855003327461,0.007725085245137169,0.362,0.171,0.764,0.0077,TRUE
A_heroin_lifetime_users,Model 1 - add SES indexes,ECONOMIC_ASSISTANCE_INDEX,0.7852167135451132,0.22467328982251855,2.744274976868173,-0.2417955310892098,0.6384364488486821,-0.3787307750446412,0.7048877976704684,0.785,0.225,2.744,0.7049,FALSE
A_heroin_lifetime_users,Model 1 - add SES indexes,IRINSUR4_fNo health insurance,1.2170929251082905,0.5810500148721427,2.5493763883210834,0.19646516697234317,0.37724346698330813,0.520791436213357,0.6025120694551335,1.217,0.581,2.549,0.6025,FALSE
A_heroin_lifetime_users,Model 2 - add demographics,(Intercept),0.3363452731765888,0.12712235152280552,0.8899154352721299,-1.089617047897248,0.49643167846632735,-2.1948983015417216,0.028170893695163565,0.336,0.127,0.89,0.0282,TRUE
