analysis,model,term,odds_ratio,conf_low_or,conf_high_or,estimate_log_odds,std_error,z_value,p_value,odds_ratio_rounded,conf_low_or_rounded,conf_high_or_rounded,p_value_rounded,significant_0_05
A_heroin_lifetime_users,Stepwise sensitivity final,(Intercept),0.11768755110923339,0.05427106280147363,0.2552070840542363,-2.13972203828566,0.39492667994292147,-5.418023514123971,6.026149222067684e-8,0.118,0.054,0.255,0,TRUE
A_heroin_lifetime_users,Stepwise sensitivity final,EDUHIGHCAT_f2,1.0997470875022322,0.5746782794757944,2.1045578015805004,0.09508023291604924,0.3311413611483413,0.2871288340010663,0.7740136749506299,1.1,0.575,2.105,0.774,FALSE
A_heroin_lifetime_users,Stepwise sensitivity final,EDUHIGHCAT_f3,0.4247736358621957,0.19365158434508026,0.9317385258365076,-0.8561988734516536,0.40077053676059754,-2.1363817818851008,0.03264830776781133,0.425,0.194,0.932,0.0326,TRUE
A_heroin_lifetime_users,Stepwise sensitivity final,EDUHIGHCAT_f4,0.3654686195556879,0.09945901545825594,1.3429382069039257,-1.0065748596869475,0.6640095303763175,-1.515904235766746,0.1295435691069236,0.365,0.099,1.343,0.1295,FALSE
A_heroin_lifetime_users,Stepwise sensitivity final,ECONOMIC_STATUS_INDEX,0.3841745787100475,0.1755055877258003,0.8409424955610454,-0.9566581976508366,0.39971458976713037,-2.393353212871654,0.01669516018400324,0.384,0.176,0.841,0.0167,TRUE
A_heroin_lifetime_users,Stepwise sensitivity final,EMPLOYMENT_INDEX,0.3974744546053862,0.19372430477334096,0.8155194684977403,-0.9226246120965257,0.3666876706106327,-2.5161048108329083,0.011865988959075584,0.397,0.194,0.816,0.0119,TRUE
A_heroin_lifetime_users,Stepwise sensitivity final,MENTAL_HEALTH_INDEX,2.7303674233155397,1.1095702083080428,6.7187332630988275,1.0044361874358805,0.45942856803391857,2.1862728121898707,0.028795651997545847,2.73,1.11,6.719,0.0288,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,(Intercept),0.1083783193239692,0.07436294039247354,0.1579531422170211,-2.2221272162169523,0.19218228549154423,-11.56260167545319,6.374763967530431e-31,0.108,0.074,0.158,0,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,drug_profile_hcHeroin only lifetime,1.5327457238048647,0.7243546159241511,3.2433139821229506,0.42706071777248517,0.3824228042934917,1.1167239844952759,0.26411235949685014,1.533,0.724,3.243,0.2641,FALSE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,drug_profile_hcHeroin + Cocaine lifetime,2.173411672788344,1.6958278707318022,2.7854939648881913,0.7762981323823269,0.12659778109914177,6.132004255069757,8.67787822326163e-10,2.173,1.696,2.785,0,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,ECONOMIC_STATUS_INDEX,0.5900270078435749,0.4370326938635914,0.7965808390836372,-0.5275869671240022,0.15314582696185366,-3.444997343972136,5.710650030062535e-4,0.59,0.437,0.797,6e-4,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,ECONOMIC_ASSISTANCE_INDEX,1.5774078253708226,0.8777711644702152,2.834697183340361,0.45578288289934704,0.2990627580722518,1.5240375827378432,0.12749932314878515,1.577,0.878,2.835,0.1275,FALSE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,IRINSUR4_fNo health insurance,1.7756250879512714,1.3503515929546377,2.3348322536232042,0.5741525231588851,0.13969007979274034,4.110188239642795,3.9533670606671535e-5,1.776,1.35,2.335,0,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,CATAG3_f26-34,0.6092008577407926,0.45078946032553224,0.8232794191863169,-0.4956072499831448,0.15364957183733446,-3.225568701928006,0.0012572265757069608,0.609,0.451,0.823,0.0013,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,CATAG3_f35-49,0.46723540661801394,0.34975343813139315,0.6241794973163006,-0.7609220656264213,0.14776025064166762,-5.149707464098232,2.6089305096075125e-7,0.467,0.35,0.624,0,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,CATAG3_f50+,0.25561319560352014,0.17374045037126262,0.3760673212658521,-1.3640899318194701,0.19699485764318594,-6.924495127127772,4.375330995704626e-12,0.256,0.174,0.376,0,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,IRSEX_fFemale,0.6888165326039524,0.5524365512717704,0.8588646325016931,-0.3727803241184019,0.1125716437311255,-3.3114940118381693,9.279922604036567e-4,0.689,0.552,0.859,9e-4,TRUE
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,MENTAL_HEALTH_INDEX,2.060643147729642,1.3635861855426983,3.1140313881921204,0.723018141710576,0.21066714215636778,3.4320403946711133,5.990583226587802e-4,2.061,1.364,3.114,6e-4,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,(Intercept),0.11120336381033152,0.0752198477386121,0.16440060030040576,-2.1963946475302705,0.19946565636389085,-11.011392575388143,3.3675778238177333e-28,0.111,0.075,0.164,0,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,drug_profile_hcmMeth only lifetime,1.580583083571329,1.100023744840778,2.271080870561987,0.457793819195295,0.1849330172718043,2.4754574707579393,0.013306560885278412,1.581,1.1,2.271,0.0133,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,drug_profile_hcmHeroin only lifetime,0.9404755758011742,0.2850005679185676,3.1034826180812187,-0.06136959995500401,0.609141043142133,-0.1007477671155454,0.9197506915736658,0.94,0.285,3.103,0.9198,FALSE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,drug_profile_hcmCocaine + Meth lifetime,2.795824888954214,2.218878711828838,3.522786877906109,1.0281271932808838,0.1179231922524302,8.718617378335903,2.8161949983112597e-18,2.796,2.219,3.523,0,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,drug_profile_hcmHeroin + Cocaine lifetime,1.9397449569972012,1.2996816024973465,2.895024820668534,0.6625564989675348,0.2043084407737148,3.24292279094509,0.0011831026756917913,1.94,1.3,2.895,0.0012,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,drug_profile_hcmHeroin + Meth lifetime,3.035309511244759,1.3912050776194842,6.622390887774507,1.1103133999525667,0.39803949064483846,2.7894553833184204,0.0052796770465588835,3.035,1.391,6.622,0.0053,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,drug_profile_hcmAll three lifetime,3.803965847397545,2.9548553015527577,4.897077755571634,1.3360441665664855,0.12887710500061622,10.366807716235535,3.5105684874204877e-25,3.804,2.955,4.897,0,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,EDUHIGHCAT_f2,1.176021412622283,0.9023409545521036,1.5327092890653566,0.16213705732281675,0.1351554882438803,1.1996335437762597,0.23028169311437444,1.176,0.902,1.533,0.2303,FALSE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,EDUHIGHCAT_f3,0.9807094360559283,0.7420691145023462,1.296093556749283,-0.019479054874335638,0.1422647769286019,-0.13692113603152484,0.891093132039736,0.981,0.742,1.296,0.8911,FALSE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,EDUHIGHCAT_f4,0.7697579531277077,0.5479867469104709,1.0812803589575943,-0.26167916013904496,0.17338329649828557,-1.5092524217961933,0.13123428833368356,0.77,0.548,1.081,0.1312,FALSE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,ECONOMIC_STATUS_INDEX,0.4738605258554344,0.3666360321088907,0.612443345168266,-0.7468422498370036,0.1308919007362851,-5.705794213667251,1.158018397059164e-8,0.474,0.367,0.612,0,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,EMPLOYMENT_INDEX,0.79174889135804,0.6172004875686766,1.0156607449162673,-0.23351099380681847,0.12706885263321707,-1.8376729542120407,0.06611061149739282,0.792,0.617,1.016,0.0661,FALSE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,IRINSUR4_fNo health insurance,1.59863567553727,1.270966195222915,2.01078205911863,0.4691505626987063,0.11702927688802496,4.00883074025652,6.102013182626072e-5,1.599,1.271,2.011,1e-4,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,CATAG3_f26-34,0.7166345070539512,0.5440376529186441,0.9439880014651457,-0.3331893214136086,0.1405880415953219,-2.36996914981349,0.017789569552836892,0.717,0.544,0.944,0.0178,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,CATAG3_f35-49,0.7004339370738878,0.5413916661765042,0.9061973629362802,-0.35605522589807664,0.1314090825914928,-2.709517629043451,0.006738112421706184,0.7,0.541,0.906,0.0067,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,CATAG3_f50+,0.41002898008351096,0.29606373810998043,0.5678634120530842,-0.8915274386512038,0.16615258254918766,-5.365715205704231,8.062907912019809e-8,0.41,0.296,0.568,0,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,IRSEX_fFemale,0.6426833140425606,0.5359360523458752,0.7706923994771026,-0.4421031892220521,0.09267376470400501,-4.770532314448493,1.837397050919752e-6,0.643,0.536,0.771,0,TRUE
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,MENTAL_HEALTH_INDEX,3.3593288921518103,2.4069931186095657,4.688459854079227,1.2117412195468975,0.17008624764899127,7.1242751033439236,1.0462987815701369e-12,3.359,2.407,4.688,0,TRUE
