analysis,model,n,k_parameters,AIC,BIC_manual,logLik,deviance,null_deviance,df_residual
A_heroin_lifetime_users,Stepwise sensitivity final,1152,7,475.67716175593523,511.0219456447261,-230.83858087796762,461.6771617559351,511.19681609025565,1145
B_heroin_or_cocaine_lifetime_users,Stepwise sensitivity final,6660,11,2729.6195003067523,2804.462122705631,-1353.8097501533762,2707.619500306753,2908.6957382344917,6649
C_heroin_cocaine_meth_lifetime_users,Stepwise sensitivity final,7120,18,3725.9615400137204,3849.633474093029,-1844.9807700068602,3689.9615400137204,4215.840013549426,7102
